Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4405603,2022,Xe mới,"Mercedes Benz E class E300 AMG",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.0 L",số tự động,0,3 Tỷ 129 Triệu
4307038,2022,Xe mới,"Toyota Veloz Cross Top 1.5 CVT",TP HCM,Xe nhập khẩu,màu bạc,"máy xăng 1.5 L",số tự động,0,688 Triệu
4353983,2019,Xe cũ,"Lexus NX 300",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 2.0 L",số tự động,45000,2 Tỷ 450 Triệu
3951185,2022,Xe mới,"Hyundai SantaFe Cao cấp 2.5L HTRAC",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.5 L",số tự động,0,1 Tỷ 270 Triệu
3695350,2021,Xe mới,"Ford Ranger XLS 2.2L 4x2 AT",Ninh Thuận,Xe nhập khẩu,màu trắng,"máy dầu 2.2 L",số tự động,0,662 Triệu
4403388,2015,Xe cũ,"Toyota Fortuner 2.7V 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu bạc,"máy xăng 2.7 L",số tự động,60000,575 Triệu
4282842,2022,Xe mới,"Toyota Corolla altis 1.8V",Hà Nội,Xe nhập khẩu,màu xanh,"máy xăng 1.8 L",số tự động,0,750 Triệu
3715950,2022,Xe mới,"Toyota Vios G 1.5 CVT",Bắc Ninh,Xe lắp ráp trong nước,màu đen,"máy xăng 1.5 L",số tự động,0,581 Triệu
3215371,2022,Xe mới,"Ford Ranger XLS 2.2L 4x2 MT",Hà Nội,Xe lắp ráp trong nước,màu xám,"máy dầu 2.2 L",số tay,0,610 Triệu
4321701,1995,Xe cũ,"Mazda 626 2.0 MT",Hà Nội,Xe lắp ráp trong nước,màu xám,"máy xăng 2.0 L",số tay,245668,63 Triệu
3363636,2022,Xe mới,"Toyota Corolla Cross 1.8HV",Vĩnh Phúc,Xe nhập khẩu,màu xanh,"xe hybrid 1.8 L",số tự động,0,936 Triệu
4407010,2015,Xe cũ,"Kia Morning Si MT",Ninh Bình,Xe lắp ráp trong nước,màu cát,"máy xăng 1.25 L",số tay,6886,169 Triệu
4316881,2022,Xe mới,"Toyota Corolla altis 1.8HEV",Hà Nội,Xe nhập khẩu,màu trắng,"xe hybrid 1.8 L",số tự động,0,860 Triệu
4227063,2022,Xe mới,"Honda City L 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu nâu,"máy xăng 1.5 L",số tự động,0,530 Triệu
4332610,2021,Xe mới,"Hyundai i10 1.2 MT Tiêu Chuẩn",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.25 L",số tay,0,330 Triệu
4411032,2008,Xe cũ,"Mercedes Benz C class C200 Elegance",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 1.8 L",số tự động,145000,328 Triệu
4343099,2020,Xe cũ,"Toyota Vios 1.5G",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,9999,539 Triệu
4341016,2022,Xe mới,"Mercedes Benz E class E180",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 1.5 L",số tự động,0,2 Tỷ 50 Triệu
