Title,Sub-category,Category,Author,Seller Name,Current Price,Origin Price,Review Rating,Sales,Publisher,Paper Size,Cover Type,Num Pages
Gã Nghiện Giày - Tự Truyện Của Nhà Sáng Lập NIKE,Sách doanh nhân,Sách kinh tế,Phil Knight,Tiki Trading,120.000 ₫,160.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 15.5 x 23 cm, Bìa mềm,452
Siêu Tập Trung (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Chris Bailey,Tiki Trading,79.800 ₫,140.000 ₫,4.8,931, Nhà Xuất Bản Hồng Đức, 14.5 x 20.5 cm, Bìa mềm,308
"Tái Tạo Tổ Chức: Phá Vỡ Rào Cản, Thổi Bùng Sinh Khí (Tái Bản)",Sách kỹ năng làm việc,Sách kinh tế,Frederic Laloux,Nhà sách Fahasa,106.300 ₫,190.000 ₫,4.7,424, Nhà Xuất Bản Thế Giới, 18 x 21 cm, Bìa mềm,208
Chạm Tay Hóa Vàng (Tái Bản),Sách doanh nhân,Sách kinh tế,Donald J.Trump,Tiki Trading,69.100 ₫,105.000 ₫,4.9,1000+,Công ty phát hành NXB Trẻ, 14 x 20 cm, Bìa mềm,181
Sói Già Phố Wall - Phần I (Tái Bản 2020),"Sách tài chính, tiền tệ",Sách kinh tế,Jordan Belfort,Tiki Trading,127.900 ₫,189.000 ₫,4.8,546, Nhà Xuất Bản Văn Học, 16 x 24 cm, Bìa mềm,692
Tỷ Phú Bán Giày (Tái Bản),Bài học kinh doanh,Sách kinh tế,Tony Hsieh,Tiki Trading,110.000 ₫,159.000 ₫,4.8,467, Nhà Xuất Bản Công Thương, 13 x 20.5 cm, Bìa mềm,367
Tâm Lý Thị Trường Chứng Khoán (Tái Bản 2017),Sách kinh tế học,Sách kinh tế,George Charles Selden,Nhà sách Fahasa,45.400 ₫,99.000 ₫,5,59,Công ty phát hành Alphabooks, 12 x 18 cm, Bìa mềm,168
Tầm Nhìn Thay Đổi Quốc Gia (Tái Bản),"Sách quản trị, lãnh đạo",Sách kinh tế,Mohammed bin Rashid Al Maktoum,Tiki Trading,190.000 ₫,248.000 ₫,4.8,1000+,Công ty phát hành First News - Trí Việt, 16 x 24 cm, Bìa cứng,280
Nghệ Thuật Bán Hàng Của Người Hướng Nội,Sách kỹ năng làm việc,Sách kinh tế,"Matthew Pollard, Derek Lewis",Tiki Trading,77.350 ₫,119.000 ₫,4.8,1000+, Nhà Xuất Bản Thế Giới, 14 x 20.5 cm, Bìa mềm,220
The Design Thinking Playbook- Thực Hành Tư Duy Thiết Kế,Sách kỹ năng làm việc,Sách kinh tế,"Michael Patrick Larry, Lewrick Link Leifer",Nhà sách Fahasa,174.000 ₫,299.000 ₫,4.8,140, Nhà Xuất Bản Công Thương, 24 x 19 cm, Bìa mềm,352
Quản Lý Nghiệp (Tái Bản),Bài học kinh doanh,Sách kinh tế,"Geshe Michael Roach, Lama Christie McNally, Michael Gordon",Tiki Trading,39.530 ₫,59.000 ₫,4.8,382, Nhà Xuất Bản Lao Động, 12 x 20 cm, Bìa mềm,159
Tiềm Năng Lớn,Bài học kinh doanh,Sách kinh tế,Shawn Achor,Tiki Trading,63.920 ₫,136.000 ₫,4.2,80,Công ty phát hành Saigon Books, 14 x 20.5 cm, Bìa mềm,272
Năng Lực Tìm Kiếm,Sách kỹ năng làm việc,Sách kinh tế,Sir Lưu,Tiki Trading,61.700 ₫,91.000 ₫,4.7,1000+, Nhà Xuất Bản Lao Động, 14.5 x 20.5 cm, Bìa mềm,280
Câu Hỏi Là Câu Trả Lời (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Allan Pease,Tiki Trading,45.260 ₫,62.000 ₫,5,338, Nhà Xuất Bản Thế Giới, 14.5 x 20.5 cm, Bìa mềm,119
Luật Bố già - Bài học kinh doanh từ những ông trùm Mafia,Bài học kinh doanh,Sách kinh tế,Louis Ferrante,Eco Trading,96.000 ₫,150.000 ₫,4.8,1000+,Công ty phát hành Ecoblader, 15 x 20cm, Bìa mềm,348
MBA Căn Bản,Sách kỹ năng làm việc,Sách kinh tế,Waseda Business School,Bookslife,89.000 ₫,149.000 ₫,5,9, Nhà Xuất Bản Lao Động, 14 x 20.5 cm, Bìa mềm,404
Bán Hàng Shopee Thực Chiến Từ A-Z - 36 Chiến Lược Đỉnh Cao Bùng Nổ Doanh Số (Bìa Cứng - Sách Màu),Sách Marketing - Bán hàng,Sách kinh tế,Văn Chính,Tiki Trading,202.000 ₫,249.000 ₫,4.8,226, Nhà Xuất Bản Thanh Niên, 16 x 24 cm, Bìa cứng,250
TikTok Tất Tần Tật,Sách Marketing - Bán hàng,Sách kinh tế,"Chiêu Thương Ca, Vương Phi Đồng",Tiki Trading,117.000 ₫,158.000 ₫,4.6,157, Nhà Xuất Bản Phụ Nữ Việt Nam," 15,7x24 cm", Bìa mềm,376
