price,Displacement,Odometer,Stroke,Year,Weight,Engine Torque,Fuel Capacity
17995.0,1868.0,20357.466614906833,4.5,2007.0,754.0,118.0,3.6
17999.0,1868.0,11436.0,4.5,2018.0,754.0,118.0,3.6
17395.0,1868.0,3681.0,4.5,2018.0,754.0,118.0,3.6
16499.0,1746.0,9459.0,4.375,2018.0,754.0,110.0,5.0
15999.0,1746.0,7224.0,4.375,2018.0,754.0,110.0,5.0
6995.0,494.0,13050.0,3.0,2018.0,754.0,38.0,3.5
11999.0,1687.861,6416.0,4.38,2018.0,754.8326035911603,73.0,5.0
11249.0,1202.0,20357.466614906833,3.8,2018.0,754.0,73.0,2.1
8999.0,883.0,5296.0,3.811,2018.0,754.0,53.8,3.3
9999.0,883.0,1463.0,3.811,2018.0,754.0,53.8,3.3
9499.0,883.0,2839.0,3.811,2018.0,754.0,53.8,3.3
4499.0,649.0,17519.0,3.0,2018.0,754.8326035911603,104.7,4.6
20995.0,1833.0,7872.0,2.847,2018.0,754.8326035911603,92.6,5.55
21499.0,1833.0,3649.0,2.847,2018.0,754.8326035911603,100.0,5.55
21499.0,1584.0,14673.0,4.38,2018.0,754.8326035911603,89.0,6.0
21999.0,1687.861,3068.0,4.374,2018.0,754.8326035911603,92.195,3.5
23999.0,1811.0,20357.466614906833,4.449,2006.0,754.8326035911603,119.0,5.5
26749.0,1811.0,20357.466614906833,4.449,2013.0,754.8326035911603,119.0,5.5
23995.0,1811.0,24000.0,4.449,2018.0,754.8326035911603,119.0,5.5
16494.0,963.0,8640.0,4.38,2018.0,754.8326035911603,105.5,3.6
4498.0,399.0,1374.0,3.0,2018.0,754.8326035911603,98.8,3.7
5749.0,84.9,60.0,3.0,2018.0,754.8326035911603,105.5,5.0
6899.0,398.0,1332.0,3.0,2018.0,754.8326035911603,111.4,6.0
15995.0,1200.0,2327.0,3.1,2018.0,754.8326035911603,92.6,4.7
10399.0,1200.0,10201.0,3.1,2018.0,754.8326035911603,111.0,6.0
10495.0,765.0,2044.0,3.0,2018.0,754.8326035911603,92.6,4.6
23995.0,800.0,6757.0,3.0,2018.0,754.8326035911603,92.6,5.3
13495.0,1687.861,5900.0,4.38,2017.0,754.8326035911603,108.0,5.0
16999.0,1573.152,20357.466614906833,4.5,2012.0,754.8326035911603,44.5,5.0
9995.0,1746.0,5826.0,2.808,2017.0,754.8326035911603,118.0,4.94
12995.0,749.0,25392.0,4.38,2017.0,754.8326035911603,86.346,5.5
18994.0,1746.0,20357.466614906833,4.374,2017.0,756.0,111.4,6.0
18749.0,1746.0,27778.0,4.374,2017.0,756.0,111.4,6.0
18999.0,1746.0,11930.0,4.374,2017.0,756.0,111.4,6.0
19995.0,1746.0,20357.466614906833,4.374,2013.0,756.0,111.4,6.0
17994.0,1746.0,20357.466614906833,4.374,2020.0,756.0,111.4,6.0
23499.0,1746.0,7711.0,4.374,2017.0,756.0,111.4,6.0
22999.0,1746.0,13926.0,4.374,2017.0,756.0,111.4,6.0
20999.0,1746.0,20357.466614906833,4.375,1997.0,756.0,111.4,6.0
31990.0,1746.0,20357.466614906833,4.375,2015.0,756.0,110.6,6.0
24995.0,1753.409,12392.0,4.375,2017.0,756.0,113.6,6.0
22999.0,1753.409,11168.0,4.375,2017.0,756.0,113.6,6.0
20499.0,1753.409,60812.0,4.375,2017.0,756.0,113.6,6.0
22995.0,1753.409,20357.466614906833,4.375,2014.0,756.0,113.6,6.0
28999.0,1753.409,18926.0,4.375,2017.0,756.0,113.6,6.0
22999.0,1753.409,39096.0,4.375,2017.0,756.0,113.6,6.0
24999.0,1753.409,20357.466614906833,4.375,2017.0,756.0,113.6,6.0
16495.0,1746.0,20847.0,4.375,2017.0,756.0,113.6,6.0
21999.0,1746.0,10814.0,4.375,2017.0,756.0,111.4,6.0
35853.0,1753.409,7793.0,4.375,2017.0,756.0,111.4,6.0
22995.0,1753.409,25149.0,4.375,2017.0,756.0,111.4,6.0
24995.0,1753.409,20357.466614906833,4.375,1999.0,756.0,111.4,6.0
16999.0,1753.409,1517.0,4.375,2017.0,756.0,111.4,6.0
24494.0,1753.409,20357.466614906833,4.375,2016.0,756.0,111.4,6.0
22995.0,1753.409,11592.0,4.375,2017.0,756.0,111.4,6.0
23494.0,1753.409,9403.0,4.375,2017.0,756.0,111.4,6.0
33999.0,1868.0,7780.0,4.5,2017.0,756.0,124.0,6.0
34995.0,1868.0,19354.0,4.5,2017.0,756.0,124.0,6.0
25995.0,1746.0,20357.466614906833,4.375,2020.0,756.0,110.6,6.0
16995.0,1690.0,3894.0,4.374,2017.0,754.0,102.5,5.0
17999.0,1801.0,3116.0,4.374,2017.0,754.0,109.0,5.0
14995.0,1690.0,19691.0,4.374,2017.0,755.0,99.5,5.0
16999.0,1690.0,22627.0,4.374,2017.0,755.0,99.5,5.0
16995.0,1690.0,20357.466614906833,4.374,2017.0,755.0,99.5,5.0
16295.0,1801.0,20357.466614906833,4.374,2019.0,754.0,108.0,5.0
19399.0,1690.0,219.0,4.374,2017.0,754.0,100.3,5.0
22999.0,1746.0,12860.0,4.375,2017.0,756.0,113.6,6.0
21999.0,1746.0,20357.466614906833,4.375,2006.0,756.0,111.4,6.0
23999.0,1746.0,20357.466614906833,4.375,2015.0,756.0,111.4,6.0
22995.0,1746.0,15023.0,4.375,2017.0,756.0,111.4,6.0
22495.0,1746.0,9824.0,4.375,2017.0,756.0,111.4,6.0
13995.0,1690.0,20357.466614906833,4.375,2017.0,754.0,93.6,4.7
13995.0,1690.0,11500.0,4.375,2017.0,754.0,93.6,4.7
14995.0,1690.0,20357.466614906833,4.375,2019.0,754.0,93.6,4.7
16495.0,1690.0,4190.0,4.375,2017.0,754.0,93.6,4.7
13990.0,1690.0,7214.0,4.375,2017.0,754.0,93.6,4.7
14999.0,1690.0,11118.0,4.375,2017.0,754.0,93.6,4.7
15999.0,1690.0,287.0,4.38,2017.0,754.0,99.5,5.0
12990.0,1690.0,4065.0,4.38,2017.0,754.0,99.5,5.0
14995.0,1690.0,10992.0,4.38,2017.0,754.0,99.5,5.0
13495.0,1690.0,5572.0,4.38,2017.0,754.0,99.5,5.0
14995.0,1690.0,5711.0,4.374,2017.0,754.0,99.5,4.7
13990.0,1690.0,10138.0,4.374,2017.0,754.0,99.5,4.7
19999.0,1801.0,7848.0,4.374,2017.0,754.0,116.0,4.7
19999.0,1690.0,24602.0,4.374,2017.0,754.0,99.5,5.0
7995.0,749.0,3409.0,3.0,2017.0,754.0,47.2,3.5
7499.0,749.0,4112.0,3.0,2017.0,754.0,47.2,3.5
9895.0,1202.0,981.0,3.811,2017.0,754.0,70.8,4.5
