price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,gear,wheelDrive,carMaker,yearsManufacturing,capacity,carEngine
2599.0,Nhập khẩu,Xe đã dùng,SUV,0,Đen,Kem,5,7.0,Số tự động,"AWD,4 bánh toàn thời gian",Mercedes,2016,3.0,Dầu
1480.0,Nhập khẩu,Xe đã dùng,SUV,0,Đen,Kem,5,8.0,Số tự động,"AWD,4 bánh toàn thời gian",Toyota,2008,4.0,Xăng
1288.0,Lắp ráp trong nước,Xe mới,Van/Minivan,0,Xanh,Kem,4,10.0,Số tay,"RFD,Dẫn động cầu sau",Ford,2022,2.2,Dầu
779.0,Lắp ráp trong nước,Xe đã dùng,SUV,0,Đỏ,Ghi,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2019,2.0,Xăng
135.0,Lắp ráp trong nước,Xe đã dùng,Hatchback,0,Bạc,Đen,5,5.0,Số tay,"FWD,Dẫn động cầu trước",Kia,2012,1.1,Xăng
17990.0,Nhập khẩu,Xe mới,SUV,0,Đen,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Bentley,2021,4.0,Xăng
834.0,Nhập khẩu,Xe mới,Crossover,0,Đỏ,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2021,2.0,Xăng
85.0,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,99999,Xanh,Xám,3,3.0,Số tay,"FWD,Dẫn động cầu trước",Toyota,2005,1.5,Xăng
1090.0,Nhập khẩu,Xe đã dùng,SUV,50000,Đen,Nhiều màu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",LandRover,2013,2.0,Xăng
315.0,Lắp ráp trong nước,Xe đã dùng,Sedan,100000,Bạc,Màu khác,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Ford,2011,2.0,Xăng
968.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Kem,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2022,1.5,Xăng
2999.0,Lắp ráp trong nước,Xe đã dùng,Sedan,4800,Trắng,Nâu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2021,2.0,Xăng
