,Name,Price,Rating,Reviews,Location
250,Nesta Hotel Saigon-Formerly Saigon Princess Hotel,"1,355,750",8.3,220,"District 1, Ho Chi Minh City"
251,Queen Central Apartment Hotel,"270,000",6.7,107,"District 1, Ho Chi Minh City"
252,Sophia Hotel,"789,750",7.5,123,"District 1, Ho Chi Minh City"
253,Cosmo Park Hotel,"425,000",7.8,324,"District 1, Ho Chi Minh City"
254,The Airport Hotel,"669,794",8.0,189,"Tan Binh, Ho Chi Minh City"
255,Gia Vien Hotel,"380,000",8.3,201,"District 1, Ho Chi Minh City"
256,SECC 3 APARTMENT,"684,000",7.9,128,"District 7, Ho Chi Minh City"
257,HANZ Meraki Hotel Bui Vien Walking Street,"81,000",8.0,96,"District 1, Ho Chi Minh City"
258,Bach Suites Saigon,"2,172,600",8.6,34,"District 3, Ho Chi Minh City"
259,AHA Boutique Hotel,"529,412",6.3,210,"District 1, Ho Chi Minh City"
260,Sunny Serviced Apartment,"1,117,253",8.6,68,"District 1, Ho Chi Minh City"
261,RedDoorz near Mien Dong Bus Station,"390,788",5.7,14,"Binh Thanh, Ho Chi Minh City"
262,Saigon Cozy Hotel - Pham Ngu Lao & Bui Vien Street,"420,000",9.3,7,"District 1, Ho Chi Minh City"
263,RedDoorz Plus near Ben Thanh Market,"377,064",7.1,64,"District 1, Ho Chi Minh City"
264,Ramana Saigon Hotel,"868,665",7.7,112,"District 3, Ho Chi Minh City"
265,Saigon Sky Garden Serviced Apartments,"2,700,000",8.3,43,"District 1, Ho Chi Minh City"
266,The Spring House,"692,308",8.9,27,"Binh Thanh, Ho Chi Minh City"
267,Lotte Hotel Saigon,"3,108,282",8.7,211,"District 1, Ho Chi Minh City"
268,A&EM - The Petit Hotel,"552,000",7.0,57,"District 1, Ho Chi Minh City"
269,RedDoorz near Him Lam,"316,892",7.5,93,"District 7, Ho Chi Minh City"
270,Blue Diamond Luxury Hotel,"1,106,334",8.2,361,"District 1, Ho Chi Minh City"
271,Sabina Hotel,"1,474,105",8.9,124,"District 7, Ho Chi Minh City"
272,RedDoorz Thinh Gia Phat Hotel,"367,771",7.5,46,"Tan Binh, Ho Chi Minh City"
273,HANZ Beautiful Saigon Boutique Hotel,"390,150",-,-,"District 1, Ho Chi Minh City"
274,The Royal Hotel & Apartment - Phu My Hung,"863,240",8.7,187,"District 7, Ho Chi Minh City"
275,Nhat Ha L’Opera Hotel,"2,726,000",8.1,83,"District 1, Ho Chi Minh City"
276,Smiley Apartment 3,"495,000",7.2,46,"District 1, Ho Chi Minh City"
277,Hoang Lan Hotel,"882,000",9.3,279,"District 3, Ho Chi Minh City"
278,Me Gustas Downtown Hotel (Formerly Dragon Palace 3 Hotel),"437,933",7.5,206,"District 1, Ho Chi Minh City"
279,Full House Saigon Hotel,"550,000",7.8,107,"District 1, Ho Chi Minh City"
280,A&EM Saigon Hotel,"1,920,000",8.0,395,"District 1, Ho Chi Minh City"
281,SONNET HOTEL,"607,283",8.7,112,"District 3, Ho Chi Minh City"
282,Phong Lan 2 Hotel,"449,280",7.1,33,"District 9, Ho Chi Minh City"
283,Bonita Signature Hotel,"598,500",7.3,946,"District 1, Ho Chi Minh City"
284,The Art - G9 Homestay,"684,000",9.4,671,"District 1, Ho Chi Minh City"
285,RIVERGATE ROSE HOME STUDIO NEAR CENTER FREE POOL & GYM,"900,000",9.2,9,"District 4, Ho Chi Minh City"
286,Golden Tree Apartments,"920,000",9.3,52,"District 7, Ho Chi Minh City"
287,"SaiGon CoZy Hotel ""241 Pham Ngu Lao Street''","485,560",8.9,44,"District 1, Ho Chi Minh City"
288,Kiki's House Saigon,"300,000",7.8,371,"District 1, Ho Chi Minh City"
289,Senses Central Hotel,"544,000",7.1,130,"District 1, Ho Chi Minh City"
290,Vietdream Hostel,"129,200",7.2,308,"District 1, Ho Chi Minh City"
291,Tuan Long Hotel,"351,500",8.2,217,"District 7, Ho Chi Minh City"
292,RedDoorz Minh Thu Quang Trung,"301,326",7.8,10,"Go Vap District , Ho Chi Minh City"
293,RedDoorz Kim Dung Hotel,"371,256",7.8,118,"District 1, Ho Chi Minh City"
294,Sunrise City - 5 star,"1,600,000",7.4,6,"District 7, Ho Chi Minh City"
295,Imai House,"450,000",7.6,19,"District 10, Ho Chi Minh City"
296,Mari Hotel By Connek,"574,076",8.5,181,"District 1, Ho Chi Minh City"
297,Blue Diamond Hotel,"1,062,400",8.0,36,"District 1, Ho Chi Minh City"
298,A&EM Phan Boi Chau,"975,999",7.4,157,"District 1, Ho Chi Minh City"
299,Citadines Regency Saigon,"2,041,200",8.8,545,"District 3, Ho Chi Minh City"
300,Hoàn Vũ Hotel,"260,000",7.1,55,"Binh Thanh, Ho Chi Minh City"
301,RedDoorz Plus Phuong Nam Hotel,"350,000",5.3,15,"Thu Duc District, Ho Chi Minh City"
302,Park Hyatt Saigon,"6,780,000",9.0,153,"District 1, Ho Chi Minh City"
