address,area,price,floor,room,buildingLine
" Ngõ Quỳnh, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội",108m2,"17,35 tỷ ",3,3,6m
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",51m2,"5,3 tỷ ",4,4,5m
" Phố Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",107m2,"17,3 tỷ ",3,3,6m
" Đường Ngọc Hà, Phường Đội Cấn, Quận Ba Đình, Hà Nội",36m2,"5,3 tỷ ",3,5,5m
" Đường Đê La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",28m2,"3,6 tỷ ",3,6,5m
" Đường Tân Ấp, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",54m2,"5,15 tỷ ",2,2,5m
" Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội",105m2,30 tỷ ,13,8,3m
" Phường Yên Phụ, Quận Tây Hồ, Hà Nội",30m2,"4,6 tỷ ",3,4,10m
" Đường Tân Ấp, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",62m2,"7,6 tỷ ",5,6,8m
" Tây Hồ, Hà Nội Đường Tây Hồ, Phường Quảng An, Quận Tây Hồ, Hà Nội",200m2,68 tỷ ,10,7,10m
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",60m2,"5,7 tỷ ",3,4,4m
" Ngọc Thụy, Long Biên Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",43m2,"4,25 tỷ ",---,---,---
" Đường Văn Điển, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",35m2,"2,7 tỷ ",2,2,8m
" Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",45m2,4 tỷ ,4,4,"3,5m"
" Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",45m2,"7,2 tỷ ",5,5,10m
" Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",32m2,"2,35 tỷ ",3,4,2m
" Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",142m2,115 tỷ ,6,4,6m
" Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",45m2,4 tỷ ,4,4,"3,5m"
" Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",45m2,"7,2 tỷ ",5,5,10m
" Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",32m2,"2,35 tỷ ",3,4,2m
" Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",142m2,115 tỷ ,6,4,6m
" Đường Ngọc Hồi, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",38m2,"3,15 tỷ ",4,5,---
" Đường Linh Đàm, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",40m2,"3,15 tỷ ",4,4,---
" Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",60m2,15 tỷ ,---,4,---
" Ngọc Hồi, Thanh Trì Đường Ngọc Hồi, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",36m2,"2,95 tỷ ",4,5,0m
" Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",37m2,"3,7 tỷ ",---,---,---
" Phố Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Hà Nội",32m2,"7,3 tỷ ",4,3,8m
" Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",49m2,"12,7 tỷ ",---,---,---
" Đường Tây Hồ, Phường Quảng An, Quận Tây Hồ, Hà Nội",126m2,65 tỷ ,5,5,10m
" Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",185m2,41 tỷ ,6,---,8m
" Phố Ngũ Xã, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",69m2,35 tỷ ,8,5,15m
" Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",65m2,"4,8 tỷ ",---,---,9m
" Phố Quán Thánh, Phường Quán Thánh, Quận Ba Đình, Hà Nội",20m2,"17,5 tỷ ",5,6,9m
" Phố Hàng Đường, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội",72m2,38 tỷ ,4,4,9m
" Phố Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",150m2,29 tỷ ,20,8,5m
" Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",24m2,"2,9 tỷ ",---,4,---
